max_fitness ,fitness_sharing,Enemy
93,yes,2
92.90013357,yes,2
93,yes,2
93.40956741,yes,2
93.13193986,yes,2
93.40956741,yes,2
93.40956741,yes,2
92.73193986,yes,2
92.33193986,yes,2
93.40956741,yes,2
94.79599331,yes,5
94.01833644,yes,5
94.57605369,yes,5
94.76278773,yes,5
94.6009447,yes,5
94.29639338,yes,5
94.64814187,yes,5
94.23521403,yes,5
94.79859564,yes,5
94.12670841,yes,5
90.80341373,yes,7
92.41402398,yes,7
91.93669509,yes,7
89.72814187,yes,7
92.54168263,yes,7
92.43289247,yes,7
92.48669518,yes,7
90.97402398,yes,7
91.58669518,yes,7
92.02246192,yes,7
93.37504998,no,2
94.20956741,no,2
93.40956741,no,2
93.33193986,no,2
93.40956741,no,2
93.37504998,no,2
92.64704042,no,2
93.34896155,no,2
94.00278773,no,2
93.40956741,no,2
94.43240366,no,5
94.40385027,no,5
94.01250552,no,5
94.2710958,no,5
94.88278773,no,5
94.16669518,no,5
94.26482618,no,5
94.10814187,no,5
94.60001907,no,5
94.94278773,no,5
92.41669509,no,7
91.46669518,no,7
90.98669518,no,7
92.05669509,no,7
93.00482618,no,7
92.55679627,no,7
92.43289247,no,7
92.36168263,no,7
92.43289247,no,7
92.43289247,no,7
